  140.00   160.00   158.40   165.60     0.00
  140.00   160.00   165.60   172.80     0.00
  140.00   160.00   172.80   180.00     0.00
  160.00   180.00     0.00     7.20     0.00
  160.00   180.00     7.20    14.40     0.00
  160.00   180.00    14.40    21.60     0.00
  160.00   180.00    21.60    28.80     0.00
  160.00   180.00    28.80    36.00     0.00
  160.00   180.00    36.00    43.20     0.00
  160.00   180.00    43.20    50.40     0.00
  160.00   180.00    50.40    57.60     0.00
  160.00   180.00    57.60    64.80     0.00
  160.00   180.00    64.80    72.00     0.00
  160.00   180.00    72.00    79.20     0.00
  160.00   180.00    79.20    86.40     0.01
  160.00   180.00    86.40    93.60     0.02
  160.00   180.00    93.60   100.80     0.01
  160.00   180.00   100.80   108.00     0.00
  160.00   180.00   108.00   115.20     0.00
  160.00   180.00   115.20   122.40     0.00
  160.00   180.00   122.40   129.60     0.00
  160.00   180.00   129.60   136.80     0.00
  160.00   180.00   136.80   144.00     0.00
  160.00   180.00   144.00   151.20     0.00
  160.00   180.00   151.20   158.40     0.00
  160.00   180.00   158.40   165.60     0.00
  160.00   180.00   165.60   172.80     0.00
  160.00   180.00   172.80   180.00     0.00
  180.00   200.00     0.00     7.20     0.00
  180.00   200.00     7.20    14.40     0.00
  180.00   200.00    14.40    21.60     0.00
  180.00   200.00    21.60    28.80     0.00
  180.00   200.00    28.80    36.00     0.00
  180.00   200.00    36.00    43.20     0.00
  180.00   200.00    43.20    50.40     0.00
  180.00   200.00    50.40    57.60     0.10
  180.00   200.00    57.60    64.80     0.35
  180.00   200.00    64.80    72.00     0.57
  180.00   200.00    72.00    79.20     0.72
  180.00   200.00    79.20    86.40     0.80
  180.00   200.00    86.40    93.60     0.88
  180.00   200.00    93.60   100.80     0.82
  180.00   200.00   100.80   108.00     0.70
  180.00   200.00   108.00   115.20     0.55
  180.00   200.00   115.20   122.40     0.33
  180.00   200.00   122.40   129.60     0.09
  180.00   200.00   129.60   136.80     0.00
  180.00   200.00   136.80   144.00     0.00
  180.00   200.00   144.00   151.20     0.00
  180.00   200.00   151.20   158.40     0.00
  180.00   200.00   158.40   165.60     0.00
  180.00   200.00   165.60   172.80     0.00
  180.00   200.00   172.80   180.00     0.00
  200.00   220.00     0.00     7.20     0.00
